"Name","State","Notes","Runtime","Created","Updated","End Time","batch_size","device","exp_name","lr","max_epochs","model.activation","model.augment","model.aux_obs_space","model.batch_norm","model.batch_size","model.bias","model.ck_w","model.constant_function","model.corr_w","model.equivariant","model.lr","model.max_ck_window_length","model.name","model.num_hidden_neurons","model.num_hidden_units","model.num_layers","model.obs_pred_w","model.orth_w","model.state_dependent_obs_dyn","model.summary","model.use_spectral_score","num_workers","seed","system.action_obs","system.data_path","system.dynamic_mode","system.eval_pred_horizon","system.name","system.pred_horizon","system.state_dim","system.state_obs","system.summary","model.explicit_transfer_op","system.test_pred_horizon","system.early_stop_epochs","system.max_epochs","system.obs_state_ratio","system.standardize","system.train_ratio","system.subgroup_id","system.group","system.terrain","model.reuse_input_observable","run_hps/reuse_input_observable","ck_reg/test","ck_reg/train","ck_reg/val","corr_score/test","corr_score/train","corr_score/val","cov_cond_num/test","cov_cond_num/train","cov_cond_num/val","epoch","inverse_projector_cond_num/","inverse_projector_error/","inverse_projector_rank/","loss/test","loss/train","loss/val","obs_pred_loss/test","obs_pred_loss/train","obs_pred_loss/val","obs_pred_loss_t/test","orth_reg/test","orth_reg/train","orth_reg/val","rank_obs_state/","solution_op_cond_num/","solution_op_error/","solution_op_rank/","spectral_score/test","spectral_score/train","spectral_score/val","state_rec_loss/test","state_rec_loss/train","state_rec_loss/val","state_rec_loss_t/test","time","time_per_epoch","trainer/global_step","state_pred_loss/test","state_pred_loss/train","state_pred_loss/val","state_pred_loss_t/test","state_base_ang_vel_err/test","state_base_ori_err/test","state_base_vel_err/test","state_dq_err/test","state_q_err/test","state_z_err/test"
"S:forward_minus_0_4-OS:3-G:K4-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-k4","finished","-","2751","2023-11-29T21:20:48.000Z","2023-11-29T22:06:39.000Z","2023-11-29T22:06:39.000Z","512","6","mse_vs_time_plot","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","3","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","mini_cheetah","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:3-G:K4-H:30-EH:30","","100","30","500","3","true","1","(1, (0, 2))","K4","uneven_easy","false","","","","","","","","","","","238","","","","2.735323429107666","0.6150537133216858","2.8351523876190186","0.7969746589660645","0.229934886097908","0.5788067579269409","0.915341317653656","","","","","","","","","","","0.7119303345680237","0.1557285487651825","0.9565604329109192","0.6946252584457397","0.3","10.706182479858398","5950","1.9119843244552612","0.4194992482662201","1.8172922134399416","2.0412139892578125","0.0034453239988040544","3.5711390953705885e-7","0.00001902658572611233","13.344962477702078","0.004919066093862057","3.667678642281236e-9"
"S:forward_minus_0_4-OS:3-G:K4-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-k4","finished","-","2712","2023-11-29T21:20:48.000Z","2023-11-29T22:06:00.000Z","2023-11-29T22:06:00.000Z","512","6","mse_vs_time_plot","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","1","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","mini_cheetah","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:3-G:K4-H:30-EH:30","","100","30","500","3","true","1","(1, (0, 2))","K4","uneven_easy","false","","","","","","","","","","","234","","","","2.9146478176116943","0.6617220044136047","3.098860263824463","0.8327674865722656","0.2614831328392029","0.6047126054763794","0.9827587008476256","","","","","","","","","","","0.8738366365432739","0.1754428893327713","1.1364670991897583","0.852145254611969","0.3","13.174517631530762","5850","1.924238681793213","0.4409888684749603","1.8986340761184692","2.169281005859375","0.003602814323968944","3.635223274369243e-7","0.000017478240818684328","12.94093371037498","0.00633517000824213","6.228322051731691e-9"
"S:forward_minus_0_4-OS:3-G:K4-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-k4","finished","-","2674","2023-11-29T21:20:48.000Z","2023-11-29T22:05:22.000Z","2023-11-29T22:05:22.000Z","512","6","mse_vs_time_plot","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","4","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","mini_cheetah","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:3-G:K4-H:30-EH:30","","100","30","500","3","true","1","(1, (0, 2))","K4","uneven_easy","false","","","","","","","","","","","230","","","","2.794739246368408","0.6710604429244995","2.897721767425537","0.7109647393226624","0.2406466156244278","0.4955708980560303","1.094972848892212","","","","","","","","","","","0.7934890389442444","0.16809585690498352","1.0562212467193604","1.0608189105987549","0.3","14.86269760131836","5750","1.902405023574829","0.4612833559513092","1.7937192916870115","3.028478622436523","0.0036147255949768686","4.033880879034123e-7","0.000014538412167774227","9.258217080431024","0.0030050911009311676","4.522504158281219e-9"
"S:forward_minus_0_4-OS:3-G:K4-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-k4","finished","-","2881","2023-11-29T21:20:48.000Z","2023-11-29T22:08:49.000Z","2023-11-29T22:08:49.000Z","512","6","mse_vs_time_plot","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","2","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","mini_cheetah","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:3-G:K4-H:30-EH:30","","100","30","500","3","true","1","(1, (0, 2))","K4","uneven_easy","false","","","","","","","","","","","254","","","","2.6945736408233643","0.6439361572265625","2.813026428222656","0.682499885559082","0.2376154661178589","0.5131388902664185","0.7679288983345032","","","","","","","","","","","0.7633246183395386","0.17217569053173065","0.9791483283042908","0.7451680898666382","0.3","9.234878540039062","6350","1.8410004377365112","0.4306042492389679","1.7814022302627563","2.007262706756592","0.0036816932090646634","3.644233741954139e-7","0.00001799909940407261","12.362649031747692","0.004166378639638424","2.429896341260799e-9"
"S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah","finished","-","4698","2023-11-29T21:20:48.000Z","2023-11-29T22:39:06.000Z","2023-11-29T22:39:06.000Z","512","4","mse_vs_time_plot","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","4","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","mini_cheetah","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30","","100","30","500","3","true","1","","K4xC2","uneven_easy","false","","","","","","","","","","","500","","","","1.308156967163086","0.6201655268669128","1.111595630645752","0.29359886050224304","0.1775594800710678","0.2141377180814743","0.4192427396774292","","","","","","","","","","","0.21104687452316284","0.13742290437221527","0.3076099753379822","0.16181540489196777","0.3","10.207536697387695","12500","1.0452736616134644","0.45198842883110046","0.7703639268875122","1.7482737302780151","0.0027084343994045797","4.6156508668204906e-8","0.00000553995893498808","3.485182515982761","0.0010657771490514278","1.1963799879277675e-9"
"S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah","finished","-","4799","2023-11-29T21:20:47.000Z","2023-11-29T22:40:46.000Z","2023-11-29T22:40:46.000Z","512","4","mse_vs_time_plot","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","2","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","mini_cheetah","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30","","100","30","500","3","true","1","","K4xC2","uneven_easy","false","","","","","","","","","","","500","","","","1.234971046447754","0.5825875997543335","1.1431920528411863","0.2974607050418854","0.19166836142539975","0.2354300618171692","0.4204760193824768","","","","","","","","","","","0.19816254079341888","0.12661702930927277","0.29993146657943726","0.15295562148094177","0.3","9.393159866333008","12500","0.9845906496047974","0.4227726459503174","0.8055047392845154","1.7260764837265017","0.0015395240079160415","6.17274615561459e-8","0.0000031087649419632742","2.1943136639507372","0.0009276554337702692","7.93705550064305e-10"
"S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah","finished","-","3893","2023-11-29T21:20:47.000Z","2023-11-29T22:25:40.000Z","2023-11-29T22:25:40.000Z","512","4","mse_vs_time_plot","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","1","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","mini_cheetah","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30","","100","30","500","3","true","1","","K4xC2","uneven_easy","false","","","","","","","","","","","386","","","","1.12864351272583","0.6342208385467529","1.1458743810653689","0.34971413016319275","0.2129688262939453","0.2808309495449066","0.4520289897918701","","","","","","","","","","","0.19411687552928925","0.14244946837425232","0.2770128846168518","0.1916045993566513","0.3","11.166315078735352","9650","0.8749741315841675","0.4548841118812561","0.8222217559814453","1.249794840812683","0.001579354455324708","3.3244093774405215e-8","0.0000027073821996385223","1.9723099708280876","0.0010869752150028944","1.1901158450791432e-9"
"S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah","finished","-","4755","2023-11-29T21:20:47.000Z","2023-11-29T22:40:02.000Z","2023-11-29T22:40:02.000Z","512","4","mse_vs_time_plot","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","3","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","mini_cheetah","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30","","100","30","500","3","true","1","","K4xC2","uneven_easy","false","","","","","","","","","","","500","","","","1.3407962322235107","0.6173744797706604","1.1593643426895142","0.31725284457206726","0.18906140327453613","0.23703809082508087","0.4625898599624634","","","","","","","","","","","0.2054726630449295","0.1433996856212616","0.31592974066734314","0.14791437983512878","0.3","9.794002532958984","12500","1.0790135860443115","0.44122838973999023","0.8062653541564941","2.056814193725586","0.0019446017805115376","6.333898800525084e-8","0.000003983608962035327","1.9151467816697365","0.0008366051479242742","6.10312187850692e-10"
"S:forward_minus_0_4-OS:3-G:K4-H:30-EH:30_DAE-AUG-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-k4","finished","-","1586","2023-11-29T21:20:46.000Z","2023-11-29T21:47:12.000Z","2023-11-29T21:47:12.000Z","512","3","mse_vs_time_plot","0.001","","ReLU","true","","false","512","true","","true","0","false","0.001","","DAE-AUG","","256","5","1","0","","DAE-AUG-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","1","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","mini_cheetah","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:3-G:K4-H:30-EH:30","","100","30","500","3","true","1","(1, (0, 2))","K4","uneven_easy","false","","","","","","","","","","","272","","","","4.478957176208496","2.0506834983825684","5.185758113861084","0.1375449001789093","0.12268882244825365","0.1354827582836151","0.16221320629119873","","","","","","","","","","","1.726553201675415","0.8334286212921143","2.246368885040283","1.6882774829864502","0.3","7.940562725067139","6800","2.5630688667297363","1.004751682281494","2.752103805541992","2.8829991817474365","0.0034102793959681537","7.351200891110649e-7","0.0003251953686955063","23.581939730634236","0.4807052612304687","1.5304338163870724e-8"
